Date,Z1A1_pumped,Z1A2_pumped,Z1A3_pumped,Z2A1_pumped,Z2A2_pumped,Z2A3_pumped,Z3A1_pumped,Z3A2_pumped,Z3A3_pumped,Z4A1_pumped,Z4A2_pumped,Z4A3_pumped
3/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.130743653
4/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.130743653
5/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.130743653
6/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.132823712
7/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.153911846
8/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151519777
9/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.153489716
10/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.156909579
11/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.153342888
12/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.151391303
13/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.148968645
14/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.148968645
15/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.148968645
16/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.146888586
17/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.125800452
18/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.124160876
19/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.121297735
20/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
21/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
22/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
23/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
24/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
25/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
26/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
27/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.111882406
28/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.118722132
29/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.120569714
30/04/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.120741013
1/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.122649337
2/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.124386361
3/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.126123386
4/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.12786041
5/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129597435
6/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.131334459
7/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.133071484
8/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.127968783
9/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.127858225
10/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129423951
11/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
12/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
13/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
14/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
15/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
16/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
17/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
18/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.129252652
19/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.142669036
20/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.147251285
21/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.154403019
22/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.161976883
23/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.163763287
24/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.164105886
25/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.1652438
26/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.165965704
27/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.165965704
28/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.165965704
29/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.152549319
30/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.14796707
31/05/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.140815336
1/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.133241472
2/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.13330265
3/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.133394418
4/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.144351437
5/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.172536245
6/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.173772045
7/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.182863129
8/06/1980,0,0,0,0,0,0,0,0,0,0.083641289,0.031170049,0.182863129
